country,date,industrial_production_rate
EU,2015,2.6
EU,2016,1.2
EU,2017,3.6
EU,2018,1.2
EU,2019,-0.5
EU,2020,-7.4
EU,2021,9.2
EU,2022,2.6
EU,2023,-1.5
EU,2024,-2.4
Euro area,2015,2.5
Euro area,2016,1.0
Euro area,2017,3.1
Euro area,2018,0.9
Euro area,2019,-1.0
Euro area,2020,-7.7
Euro area,2021,8.9
Euro area,2022,1.8
Euro area,2023,-1.7
Euro area,2024,-3.0
Belgium,2015,-0.8
Belgium,2016,4.4
Belgium,2017,2.9
Belgium,2018,1.0
Belgium,2019,5.3
Belgium,2020,-4.2
Belgium,2021,25.5
Belgium,2022,-0.5
Belgium,2023,-7.1
Belgium,2024,-2.9
Bulgaria,2015,2.7
Bulgaria,2016,2.5
Bulgaria,2017,4.0
Bulgaria,2018,0.3
Bulgaria,2019,0.6
Bulgaria,2020,-6.3
Bulgaria,2021,10.1
Bulgaria,2022,13.0
Bulgaria,2023,-8.4
Bulgaria,2024,-3.6
Czechia,2015,4.5
Czechia,2016,2.6
Czechia,2017,6.5
Czechia,2018,3.1
Czechia,2019,-0.6
Czechia,2020,-7.0
Czechia,2021,6.5
Czechia,2022,2.0
Czechia,2023,-0.8
Czechia,2024,-1.1
Denmark,2015,0.6
Denmark,2016,3.8
Denmark,2017,1.6
Denmark,2018,2.2
Denmark,2019,2.7
Denmark,2020,-5.5
Denmark,2021,9.8
Denmark,2022,12.4
Denmark,2023,9.2
Denmark,2024,7.7
Germany,2015,0.9
Germany,2016,0.8
Germany,2017,3.2
Germany,2018,0.9
Germany,2019,-3.2
Germany,2020,-9.6
Germany,2021,4.5
Germany,2022,-0.2
Germany,2023,-1.9
Germany,2024,-4.6
Estonia,2015,0.1
Estonia,2016,2.8
Estonia,2017,4.0
Estonia,2018,4.9
Estonia,2019,7.1
Estonia,2020,-2.7
Estonia,2021,12.8
Estonia,2022,1.6
Estonia,2023,-9.6
Estonia,2024,-3.1
Ireland,2015,36.0
Ireland,2016,-5.0
Ireland,2017,4.8
Ireland,2018,-3.7
Ireland,2019,6.9
Ireland,2020,14.5
Ireland,2021,30.4
Ireland,2022,12.3
Ireland,2023,-2.5
Ireland,2024,-5.0
Greece,2015,0.9
Greece,2016,2.7
Greece,2017,4.1
Greece,2018,1.7
Greece,2019,-0.6
Greece,2020,-2.2
Greece,2021,10.4
Greece,2022,2.5
Greece,2023,2.3
Greece,2024,5.2
Spain,2015,3.4
Spain,2016,1.6
Spain,2017,3.0
Spain,2018,0.7
Spain,2019,0.4
Spain,2020,-9.5
Spain,2021,7.5
Spain,2022,2.5
Spain,2023,-1.6
Spain,2024,0.5
France,2015,1.4
France,2016,0.3
France,2017,2.4
France,2018,0.6
France,2019,0.5
France,2020,-11.1
France,2021,5.6
France,2022,0.6
France,2023,0.9
France,2024,0.0
Croatia,2015,2.5
Croatia,2016,4.8
Croatia,2017,1.8
Croatia,2018,-0.7
Croatia,2019,0.6
Croatia,2020,-3.4
Croatia,2021,6.3
Croatia,2022,1.7
Croatia,2023,-0.2
Croatia,2024,-2.4
Italy,2015,1.2
Italy,2016,1.9
Italy,2017,3.6
Italy,2018,0.9
Italy,2019,-1.1
Italy,2020,-11.5
Italy,2021,12.4
Italy,2022,0.3
Italy,2023,-2.0
Italy,2024,-4.0
Cyprus,2015,4.8
Cyprus,2016,9.2
Cyprus,2017,8.6
Cyprus,2018,7.3
Cyprus,2019,4.4
Cyprus,2020,-7.3
Cyprus,2021,6.4
Cyprus,2022,3.2
Cyprus,2023,1.6
Cyprus,2024,2.3
Latvia,2015,3.4
Latvia,2016,4.7
Latvia,2017,8.7
Latvia,2018,2.0
Latvia,2019,0.8
Latvia,2020,-1.7
Latvia,2021,6.4
Latvia,2022,0.8
Latvia,2023,-4.8
Latvia,2024,-2.1
Lithuania,2015,4.2
Lithuania,2016,2.1
Lithuania,2017,6.7
Lithuania,2018,5.4
Lithuania,2019,3.5
Lithuania,2020,-0.5
Lithuania,2021,20.9
Lithuania,2022,5.5
Lithuania,2023,-5.2
Lithuania,2024,4.1
Luxembourg,2015,1.1
Luxembourg,2016,-0.4
Luxembourg,2017,3.9
Luxembourg,2018,-1.2
Luxembourg,2019,-3.3
Luxembourg,2020,-10.7
Luxembourg,2021,8.2
Luxembourg,2022,-3.6
Luxembourg,2023,-4.1
Luxembourg,2024,-1.6
Hungary,2015,7.0
Hungary,2016,0.9
Hungary,2017,5.1
Hungary,2018,3.8
Hungary,2019,5.7
Hungary,2020,-6.9
Hungary,2021,9.5
Hungary,2022,6.1
Hungary,2023,-4.8
Hungary,2024,-3.9
Malta,2015,-0.2
Malta,2016,-7.2
Malta,2017,6.9
Malta,2018,3.3
Malta,2019,2.9
Malta,2020,1.2
Malta,2021,-0.9
Malta,2022,1.5
Malta,2023,7.1
Malta,2024,3.7
Netherlands,2015,-3.5
Netherlands,2016,1.2
Netherlands,2017,1.4
Netherlands,2018,1.7
Netherlands,2019,-1.6
